Date,Open,High,Low,Close,Adj Close,Volume
1998-01-31,2554.780029,2734.310059,2530.830078,2733.379883,2733.379883,0
1998-02-28,2763.959961,2961.820068,2709.899902,2910.770020,2910.770020,0
1998-03-31,2925.139893,3100.300049,726.880005,737.020020,737.020020,0
1998-04-30,737.020020,786.849976,737.020020,765.590027,765.590027,0
1998-05-31,765.590027,800.460022,738.409973,776.520020,776.520020,0
1998-06-30,787.130005,821.979980,768.809998,769.369995,769.369995,0
1998-07-31,769.109985,769.109985,657.780029,657.780029,657.780029,0
1998-08-31,641.190002,671.580017,576.619995,586.859985,586.859985,0
1998-09-30,565.049988,626.840027,498.640015,624.419983,624.419983,0
1998-10-31,651.489990,722.340027,635.809998,709.270020,709.270020,0
1998-11-30,689.710022,728.200012,651.320007,701.309998,701.309998,0
1998-12-31,701.309998,739.809998,689.049988,722.369995,722.369995,0
1999-01-31,733.099976,744.679993,706.640015,732.729980,732.729980,0
1999-02-28,718.320007,742.869995,706.289978,742.869995,742.869995,0
1999-03-31,746.239990,788.960022,746.239990,776.950012,776.950012,0
1999-04-30,792.890015,795.179993,765.159973,772.979980,772.979980,0
1999-05-31,772.739990,840.979980,772.739990,829.140015,829.140015,0
1999-06-30,837.159973,852.780029,803.849976,823.270020,823.270020,0
1999-07-31,818.690002,867.049988,794.530029,836.919983,836.919983,0
1999-08-31,840.789978,860.409973,831.750000,832.340027,832.340027,0
1999-09-30,835.090027,923.000000,827.400024,923.000000,923.000000,0
1999-10-31,921.369995,1048.050049,921.369995,1030.969971,1030.969971,0
1999-11-30,1057.160034,1198.969971,1057.160034,1198.969971,1198.969971,0
1999-12-31,1211.790039,1245.989990,1131.300049,1220.229980,1220.229980,0
2000-01-31,1261.150024,1433.079956,1261.150024,1433.079956,1433.079956,0
2000-02-29,1463.750000,1539.000000,1383.660034,1383.660034,1383.660034,0
2000-03-31,1368.989990,1429.609985,1275.729980,1429.609985,1429.609985,0
2000-04-30,1429.609985,1462.530029,1292.449951,1377.150024,1377.150024,0
2000-05-31,1377.150024,1442.359985,1284.459961,1315.099976,1315.099976,0
2000-06-30,1342.750000,1444.239990,1300.319946,1320.119995,1320.119995,0
2000-07-31,1310.550049,1336.869995,1255.500000,1336.869995,1336.869995,0
2000-08-31,1358.260010,1377.939941,1218.170044,1218.170044,1218.170044,0
2000-09-30,1234.040039,1243.520020,1120.800049,1179.310059,1179.310059,0
2000-10-31,1190.410034,1197.530029,1086.630005,1095.430054,1095.430054,0
2000-11-30,1119.939941,1160.719971,1046.510010,1056.109985,1056.109985,0
2000-12-31,1056.109985,1120.949951,997.440002,1112.579956,1112.579956,0
2001-01-31,1098.439941,1098.439941,942.010010,975.650024,975.650024,0
2001-02-28,945.049988,1009.000000,825.289978,831.770020,831.770020,0
2001-03-31,811.760010,934.489990,790.710022,934.489990,934.489990,0
2001-04-30,934.489990,974.700012,902.280029,926.679993,926.679993,0
2001-05-31,917.070007,944.460022,839.760010,879.729980,879.729980,0
2001-06-30,896.750000,896.750000,798.820007,868.859985,868.859985,0
2001-07-31,868.010010,868.010010,791.669983,793.640015,793.640015,0
2001-08-31,788.099976,788.099976,653.619995,703.219971,703.219971,0
2001-09-30,693.340027,779.630005,693.340027,741.919983,741.919983,0
2001-10-31,743.799988,848.479980,743.799988,835.059998,835.059998,0
2001-11-30,832.059998,884.669983,807.609985,846.489990,846.489990,0
2001-12-31,846.489990,869.450012,754.969971,782.020020,782.020020,0
2002-01-31,784.489990,785.909973,747.599976,783.640015,783.640015,0
2002-02-28,794.010010,833.469971,789.260010,798.609985,798.609985,0
2002-03-31,798.609985,798.609985,702.650024,714.340027,714.340027,0
2002-04-30,714.340027,718.250000,659.020020,659.890015,659.890015,0
2002-05-31,658.609985,658.609985,567.020020,607.900024,607.900024,0
2002-06-30,609.289978,610.469971,481.489990,541.320007,541.320007,0
2002-07-31,529.929993,564.140015,497.549988,525.830017,525.830017,0
2002-08-31,523.539978,532.710022,445.649994,445.649994,445.649994,0
2002-09-30,453.290009,511.320007,421.010010,511.320007,511.320007,0
2002-10-31,502.579987,584.020020,502.579987,575.239990,575.239990,0
2002-11-30,570.820007,570.820007,493.200012,493.200012,493.200012,0
2002-12-31,493.200012,526.010010,466.820007,477.799988,477.799988,0
2003-01-31,481.799988,499.170013,456.529999,469.970001,469.970001,0
2003-02-28,471.429993,503.399994,432.359985,457.779999,457.779999,0
2003-03-31,461.690002,521.919983,461.690002,521.919983,521.919983,0
2003-04-30,521.919983,525.780029,492.309998,514.460022,514.460022,0
2003-05-31,518.520020,545.210022,511.850006,531.460022,531.460022,0
2003-06-30,522.320007,571.010010,522.320007,571.010010,571.010010,0
2003-07-31,568.510010,599.130005,555.739990,586.429993,586.429993,0
2003-08-31,598.450012,615.140015,567.020020,567.020020,567.020020,0
2003-09-30,572.559998,622.030029,570.390015,617.570007,617.570007,0
2003-10-31,622.090027,631.299988,603.130005,614.520020,614.520020,0
2003-11-30,621.260010,638.619995,606.080017,636.289978,636.289978,0
2003-12-31,636.289978,676.869995,635.469971,673.909973,673.909973,0
2004-01-31,670.479980,705.809998,667.890015,698.179993,698.179993,0
2004-02-29,704.469971,718.989990,662.729980,690.280029,690.280029,0
2004-03-31,705.049988,728.070007,685.590027,685.590027,685.590027,0
2004-04-30,689.969971,696.710022,651.599976,673.950012,673.950012,0
2004-05-31,666.059998,699.270020,666.059998,698.130005,698.130005,0
2004-06-30,697.969971,697.969971,661.760010,683.299988,683.299988,0
2004-07-31,678.799988,690.919983,649.359985,685.030029,685.030029,0
2004-08-31,693.429993,709.940002,687.440002,705.760010,705.760010,0
2004-09-30,717.099976,726.789978,686.330017,702.549988,702.549988,0
2004-10-31,711.489990,748.979980,711.489990,743.340027,743.340027,0
2004-11-30,750.130005,753.739990,728.940002,741.880005,741.880005,0
2004-12-31,747.760010,757.450012,727.559998,741.500000,741.500000,0
2005-01-31,750.059998,770.400024,750.059998,769.969971,769.969971,0
2005-02-28,772.090027,784.169983,760.169983,770.390015,770.390015,0
2005-03-31,778.640015,796.369995,748.239990,749.539978,749.539978,0
2005-04-30,754.789978,793.799988,754.789978,792.390015,792.390015,0
2005-05-31,795.580017,828.229980,787.580017,822.489990,822.489990,0
2005-06-30,830.150024,863.840027,818.539978,863.840027,863.840027,0
2005-07-31,862.969971,874.859985,833.859985,849.510010,849.510010,0
2005-08-31,851.890015,896.289978,851.890015,896.289978,896.289978,0
2005-09-30,905.380005,905.380005,854.599976,882.630005,882.630005,0
2005-10-31,885.809998,922.739990,885.809998,911.159973,911.159973,0
2005-11-30,927.159973,966.739990,926.979980,960.010010,960.010010,0
2005-12-31,963.390015,982.630005,929.219971,961.979980,961.979980,0
2006-01-31,968.900024,1015.710022,961.710022,995.010010,995.010010,0
2006-02-28,1006.000000,1069.339966,997.440002,1059.939941,1059.939941,0
2006-03-31,1076.500000,1076.500000,1036.869995,1036.869995,1036.869995,0
2006-04-30,1036.869995,1055.449951,906.250000,948.049988,948.049988,0
2006-05-31,962.289978,962.289978,878.159973,956.489990,956.489990,0
2006-06-30,961.239990,965.419983,893.570007,946.260010,946.260010,0
2006-07-31,932.039978,994.159973,932.039978,994.159973,994.159973,0
2006-08-31,997.570007,1041.079956,989.530029,1039.339966,1039.339966,0
2006-09-30,1043.359985,1099.810059,1034.150024,1085.560059,1085.560059,0
2006-10-31,1094.910034,1117.949951,1058.069946,1068.069946,1068.069946,0
2006-11-30,1059.839966,1150.250000,1059.839966,1147.270020,1147.270020,0
2006-12-31,1164.119995,1190.260010,1133.050049,1185.979980,1185.979980,0
2007-01-31,1191.709961,1229.650024,1157.839966,1157.839966,1157.839966,0
2007-02-28,1151.180054,1223.569946,1136.829956,1214.410034,1214.410034,0
2007-03-31,1225.979980,1282.180054,1225.979980,1273.829956,1273.829956,0
2007-04-30,1267.790039,1279.170044,1221.689941,1276.319946,1276.319946,0
2007-05-31,1292.020020,1292.020020,1232.800049,1254.859985,1254.859985,0
2007-06-30,1254.489990,1311.869995,1212.339966,1243.869995,1243.869995,0
2007-07-31,1221.079956,1243.489990,1145.430054,1213.239990,1213.239990,0
2007-08-31,1222.310059,1226.079956,1147.199951,1221.540039,1221.540039,0
2007-09-30,1229.300049,1267.699951,1145.869995,1183.199951,1183.199951,0
2007-10-31,1168.489990,1168.489990,1053.640015,1106.709961,1106.709961,0
2007-11-30,1102.189941,1131.579956,1059.989990,1081.439941,1081.439941,0
2007-12-31,1058.369995,1058.369995,917.750000,949.039978,949.039978,0
2008-01-31,976.429993,986.299988,911.390015,965.289978,965.289978,0
2008-02-29,954.219971,954.219971,886.559998,952.130005,952.130005,0
2008-03-31,981.229980,1005.309998,948.400024,986.059998,986.059998,0
2008-04-30,1008.200012,1036.859985,993.000000,1004.900024,1004.900024,0
2008-05-31,995.590027,997.859985,857.650024,857.650024,857.650024,0
2008-06-30,841.070007,886.619995,813.599976,867.440002,867.440002,0
2008-07-31,854.679993,900.260010,837.070007,870.859985,870.859985,0
2008-08-31,873.409973,889.359985,768.489990,768.489990,768.489990,0
2008-09-30,769.330017,780.390015,575.710022,638.909973,638.909973,0
2008-10-31,667.880005,713.669983,560.940002,641.739990,641.739990,1325275900
2008-11-30,641.739990,692.210022,591.700012,662.330017,662.330017,2556443100
2008-12-31,662.330017,704.489990,591.619995,617.380005,617.380005,3253205000
2009-01-31,617.500000,690.510010,595.619995,640.390015,640.390015,3661750400
2009-02-28,638.380005,689.960022,593.280029,653.049988,653.049988,4434132900
2009-03-31,652.190002,784.419983,641.020020,763.890015,763.890015,4222640800
2009-04-30,763.890015,816.349976,734.119995,776.500000,776.500000,3200551800
2009-05-31,777.349976,810.030029,749.070007,795.799988,795.799988,3206830900
2009-06-30,795.919983,884.119995,766.710022,882.049988,882.049988,2510889900
2009-07-31,881.450012,925.030029,853.260010,904.840027,904.840027,2576913600
2009-08-31,905.090027,929.590027,867.880005,896.760010,896.760010,2778672200
2009-09-30,896.400024,950.890015,859.880005,944.669983,944.669983,3159002900
2009-10-31,942.340027,976.859985,916.789978,936.190002,936.190002,2372388800
2009-11-30,937.390015,973.580017,935.809998,951.719971,951.719971,1945947500
2009-12-31,951.719971,986.000000,934.659973,953.710022,953.710022,2425271900
2010-01-31,952.820007,975.250000,919.390015,947.390015,947.390015,2597768600
2010-02-28,954.200012,1036.300049,953.539978,1021.080017,1021.080017,2446243600
2010-03-31,1026.670044,1077.469971,1025.689941,1053.880005,1053.880005,2657823100
2010-04-30,1049.540039,1062.880005,923.130005,980.630005,980.630005,3207594700
2010-05-31,977.849976,1069.719971,961.159973,1005.929993,1005.929993,2320681600
2010-06-30,992.780029,1068.699951,975.489990,1047.260010,1047.260010,2219370400
2010-07-31,1052.109985,1083.900024,982.520020,1011.700012,1011.700012,1996541400
2010-08-31,1017.289978,1100.729980,1009.739990,1087.709961,1087.709961,2300433300
2010-09-30,1087.449951,1119.189941,1061.979980,1089.319946,1089.319946,2256655800
2010-10-31,1094.619995,1121.380005,1078.270020,1107.050049,1107.050049,2005200700
2010-11-30,1112.670044,1169.459961,1111.770020,1155.569946,1155.569946,1797299200
2010-12-31,1161.579956,1182.560059,1136.420044,1147.219971,1147.219971,2049281400
2011-01-31,1150.540039,1156.199951,1085.060059,1128.660034,1128.660034,2484337100
2011-02-28,1131.050049,1140.859985,1045.579956,1134.869995,1134.869995,2560136700
2011-03-31,1136.869995,1163.060059,1105.010010,1162.839966,1162.839966,1925222000
2011-04-30,1167.099976,1175.079956,1126.050049,1151.359985,1151.359985,2272587800
2011-05-31,1154.089966,1161.489990,1048.469971,1115.229980,1115.229980,2110923900
2011-06-30,1117.349976,1142.109985,1052.069946,1065.969971,1065.969971,2054306600
2011-07-31,1081.160034,1087.180054,851.140015,954.630005,954.630005,3934282000
2011-08-31,956.840027,966.080017,833.030029,910.169983,910.169983,2826707800
2011-09-30,892.429993,1037.430054,855.739990,990.440002,990.440002,2736666600
2011-10-31,963.640015,993.469971,872.929993,979.359985,979.359985,2432082200
2011-11-30,978.469971,992.030029,927.469971,987.849976,987.849976,2007824400
2011-12-31,986.013000,1051.410034,980.945007,1036.339966,1036.339966,2209226700
2012-01-31,1034.709961,1113.449951,1034.709961,1101.760010,1101.760010,2233092600
2012-02-29,1098.050049,1127.540039,1054.459961,1074.479980,1074.479980,2286429200
2012-03-31,1075.290039,1088.839966,1004.570007,1059.619995,1059.619995,2269311800
2012-04-30,1059.619995,1071.420044,955.010010,975.978027,975.978027,2032905000
2012-05-31,980.049988,1019.059998,941.109985,1019.059998,1019.059998,1906038400
2012-06-30,1020.590027,1071.410034,1009.320007,1068.160034,1068.160034,1866643000
2012-07-31,1067.689941,1093.739990,1033.020020,1043.930054,1043.930054,1762215600
2012-08-31,1040.420044,1119.189941,1028.930054,1072.449951,1072.449951,1946141900
2012-09-30,1069.729980,1098.719971,1034.550049,1052.109985,1052.109985,2012760400
2012-10-31,1050.030029,1090.939941,1026.469971,1085.849976,1085.849976,1776811300
2012-11-30,1089.160034,1114.050049,1085.160034,1104.729980,1104.729980,1429585000
2012-12-31,1122.459961,1182.119995,1116.619995,1169.170044,1169.170044,2151781800
2013-01-31,1167.719971,1212.319946,1156.819946,1199.400024,1199.400024,1974011100
2013-02-28,1199.939941,1222.800049,1179.750000,1201.189941,1201.189941,1842348200
2013-03-31,1201.189941,1211.250000,1140.689941,1198.989990,1198.989990,2287515100
2013-04-30,1198.989990,1257.560059,1186.790039,1214.770020,1214.770020,1865703200
2013-05-31,1207.630005,1222.660034,1108.959961,1151.000000,1151.000000,1952096700
2013-06-30,1158.310059,1242.050049,1141.900024,1234.069946,1234.069946,1825101400
2013-07-31,1240.660034,1265.880005,1206.119995,1214.349976,1214.349976,1436775600
2013-08-31,1222.109985,1291.880005,1220.979980,1259.599976,1259.599976,1980692500
2013-09-30,1261.109985,1300.920044,1234.040039,1283.520020,1283.520020,1986074700
2013-10-31,1285.449951,1316.300049,1269.750000,1307.709961,1307.709961,1491631800
2013-11-30,1307.750000,1338.530029,1252.689941,1332.949951,1332.949951,1474104800
2013-12-31,1333.979980,1358.550049,1292.040039,1304.449951,1304.449951,2094882100
2014-01-31,1302.800049,1373.680054,1275.770020,1369.130005,1369.130005,1851218300
2014-02-28,1344.500000,1376.449951,1317.920044,1364.969971,1364.969971,2021616200
2014-03-31,1367.459961,1382.130005,1328.819946,1364.390015,1364.390015,1785681200
2014-04-30,1369.310059,1404.630005,1341.829956,1402.079956,1402.079956,1544376600
2014-05-31,1406.260010,1410.089966,1369.650024,1376.810059,1376.810059,1306252100
2014-06-30,1377.869995,1409.439941,1355.550049,1379.869995,1379.869995,1478885600
